MÊS,AMEAÇA,LESÃO CORPORAL,ESTUPRO,FEMINICÍDIO CONSUMADO,FEMINICÍDIO TENTADO
2012-01-01,4271,2655,154,12,NaN
2012-02-01,4040,2571,108,14,NaN
2012-03-01,3912,2305,126,8,NaN
2012-04-01,3527,2055,85,5,NaN
2012-05-01,3617,2012,106,8,NaN
2012-06-01,3183,1725,103,2,NaN
2012-07-01,3188,1714,125,12,NaN
2012-08-01,3630,2148,130,13,NaN
2012-09-01,3395,2079,107,9,NaN
2012-10-01,3944,2457,132,9,NaN
2012-11-01,4020,2427,140,3,NaN
2012-12-01,4242,2975,138,6,NaN
2013-01-01,4537,2674,153,7,26.0
2013-02-01,3853,2425,129,12,21.0
2013-03-01,3845,2298,104,8,19.0
2013-04-01,3683,2071,105,9,19.0
2013-05-01,3237,1970,116,10,13.0
2013-06-01,3266,1793,124,9,18.0
2013-07-01,3315,1724,112,5,13.0
2013-08-01,3300,1766,109,6,19.0
2013-09-01,3251,1932,98,8,22.0
2013-10-01,3584,2184,145,7,19.0
2013-11-01,3857,2456,122,2,21.0
2013-12-01,4151,2844,131,9,19.0
2014-01-01,4455,2571,152,5,38.0
2014-02-01,3937,2304,102,9,24.0
2014-03-01,3994,2324,135,11,29.0
2014-04-01,3617,2013,105,8,15.0
2014-05-01,3452,1745,109,4,17.0
2014-06-01,3193,1804,94,3,17.0
2014-07-01,3489,1711,107,4,24.0
2014-08-01,3542,1987,83,3,23.0
2014-09-01,3540,1871,109,6,26.0
2014-10-01,3856,2265,117,5,24.0
2014-11-01,3853,2354,143,9,29.0
2014-12-01,3843,2593,151,8,20.0
2015-01-01,4434,2639,142,5,25.0
2015-02-01,3902,2310,120,13,30.0
2015-03-01,4370,2371,126,5,32.0
2015-04-01,3893,2099,129,9,33.0
2015-05-01,3593,1928,111,8,33.0
2015-06-01,3152,1647,125,5,14.0
2015-07-01,2968,1647,95,7,18.0
2015-08-01,2983,1853,129,12,29.0
2015-09-01,2744,1590,123,9,14.0
2015-10-01,3382,1968,134,11,27.0
2015-11-01,3648,2104,92,7,25.0
2015-12-01,3772,2377,146,8,31.0
2016-01-01,4169,2504,206,10,16.0
2016-02-01,3923,2265,119,13,18.0
2016-03-01,3705,1976,147,8,20.0
2016-04-01,3359,1914,99,11,28.0
2016-05-01,2984,1514,99,3,15.0
2016-06-01,2846,1441,126,4,14.0
2016-07-01,3059,1633,129,6,20.0
2016-08-01,3080,1588,137,10,28.0
2016-09-01,2843,1602,103,10,19.0
2016-10-01,3131,1958,123,5,24.0
2016-11-01,3317,1966,145,7,26.0
2016-12-01,3190,2306,141,9,35.0
2017-01-01,3576,2197,167,9,23.0
2017-02-01,3356,2096,124,8,30.0
2017-03-01,3454,2026,127,6,32.0
2017-04-01,2905,1806,120,6,28.0
2017-05-01,2961,1550,124,3,17.0
2017-06-01,2770,1514,112,9,22.0
2017-07-01,3222,1797,132,4,25.0
2017-08-01,3184,1754,151,8,34.0
2017-09-01,3112,1896,175,14,35.0
2017-10-01,3104,1938,149,3,27.0
2017-11-01,3069,1973,137,7,21.0
2017-12-01,3233,2413,143,6,28.0
2018-01-01,3625,2176,194,7,35.0
2018-02-01,3268,1989,173,3,34.0
2018-03-01,3459,2073,175,8,30.0
2018-04-01,3314,1837,167,11,44.0
2018-05-01,2875,1628,158,10,34.0
2018-06-01,2640,1441,110,16,17.0
2018-07-01,2868,1432,121,8,33.0
2018-08-01,3047,1450,151,10,22.0
2018-09-01,2944,1749,135,12,26.0
2018-10-01,3285,1882,112,7,26.0
2018-11-01,3188,1936,99,8,32.0
2018-12-01,3110,2222,117,16,22.0
2019-01-01,3765,2116,184,3,44.0
2019-02-01,3214,1820,132,1,23.0
2019-03-01,3457,1949,126,11,25.0
2019-04-01,3085,1719,107,6,37.0
2019-05-01,2893,1499,104,11,31.0
2019-06-01,2799,1589,133,9,23.0
2019-07-01,2739,1364,143,14,22.0
2019-08-01,3004,1460,156,8,27.0
2019-09-01,3031,1663,174,7,14.0
2019-10-01,3085,1723,166,9,41.0
2019-11-01,3075,1885,156,11,39.0
2019-12-01,3234,2202,133,7,33.0
2020-01-01,3802,2219,220,10,22.0
2020-02-01,3476,2002,187,4,23.0
2020-03-01,2899,1812,178,13,19.0
2020-04-01,2258,1312,114,9,24.0
2020-05-01,2422,1226,153,7,32.0
2020-06-01,2430,1254,161,8,26.0
2020-07-01,2425,1167,147,2,21.0
2020-08-01,2712,1363,171,4,27.0
2020-09-01,2458,1401,186,5,27.0
2020-10-01,2875,1638,238,6,40.0
2020-11-01,2967,1676,211,6,31.0
2020-12-01,3001,1851,194,6,25.0
2021-01-01,3411,1942,251,11,31.0
2021-02-01,2730,1594,221,6,22.0
2021-03-01,2704,1474,178,3,30.0
2021-04-01,2612,1389,171,14,15.0
2021-05-01,2414,1119,153,7,9.0
2021-06-01,2260,1047,146,8,17.0
2021-07-01,2646,1345,161,9,18.0
2021-08-01,2689,1426,215,14,22.0
2021-09-01,2518,1420,179,7,21.0
2021-10-01,2842,1644,213,3,25.0
2021-11-01,2834,1675,212,8,23.0
2021-12-01,2997,1963,206,6,23.0
2022-01-01,3029,1855,194,10,22.0
2022-02-01,2775,1630,152,9,22.0
2022-03-01,2865,1566,195,8,16.0
2022-04-01,2414,1409,197,10,18.0
2022-05-01,2206,1181,191,10,22.0
2022-06-01,2067,1114,157,11,16.0
2022-07-01,2352,1372,171,10,16.0
